ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
1;/a/;1;23;10;51;1;2;538.373015873016
1;/a/;1;25;13;35;1;2;605.05291005291
1;/u/;1;1;11;38;1;2;890.182823129252
1;/u/;1;3;13;45;1;2;1008.05408583186
1;/u/;1;5;14;37;1;2;616.941496598639
1;/u/;1;6;17;43;1;2;764.37557739145
1;/u/;1;7;13;47;1;2;1090.04303762321
1;/u/;1;13;16;43;1;2;824.810615604266
1;/u/;1;16;9;33;1;2;569.485176786764
1;/u/;1;17;9;36;1;2;576.435710086504
1;/u/;1;21;12;47;1;2;1688.27755102041
1;/u/;1;22;7;23;1;2;1034.36649659864
1;/u/;1;23;10;51;1;2;830.416666666667
1;/u/;1;25;13;35;1;2;1891.2925170068
1;/u/;1;27;22;37;1;2;546.474391409456
1;/u/;1;1;11;38;1;2;1002.18520061086
1;/u/;1;3;13;45;1;2;1326.73469387755
1;/u/;1;5;14;37;1;2;1186.91609977324
1;/u/;1;6;17;43;1;2;1796.88775510204
1;/u/;1;7;13;47;1;2;1198.43676246009
1;/u/;1;13;16;43;1;2;998.244047619048
1;/u/;1;16;9;33;1;2;859.826152683296
1;/u/;1;17;9;36;1;2;640.468631897203
1;/u/;1;21;12;47;1;2;853.126530612245
1;/u/;1;22;7;23;1;2;1895.51020408163
1;/u/;1;23;10;51;1;2;1054.17517006803
1;/u/;1;25;13;35;1;2;2078.84353741497
1;/u/;1;27;22;37;1;2;617.886096587395
1;Strings;0;1;11;38;1;2;1004.00554656167
1;Strings;0;3;13;45;1;2;1117.04246177911
1;Strings;0;5;14;37;1;2;585.573636451352
1;Strings;0;6;17;43;1;2;949.00041178244
1;Strings;0;7;13;47;1;2;863.090099060444
1;Strings;0;13;16;43;1;2;622.534424976675
1;Strings;0;16;9;33;1;2;1388.02143003035
1;Strings;0;17;9;36;1;2;506.428995992491
1;Strings;0;21;12;47;1;2;940.460911872337
1;Strings;0;22;7;23;1;2;726.507090450777
1;Strings;0;23;10;51;1;2;1098.7330903561
1;Strings;0;25;13;35;1;2;884.33379005993
1;Strings;0;1;11;38;1;2;858.573402950291
1;Strings;0;3;13;45;1;2;1261.04457813281
1;Strings;0;5;14;37;1;2;642.073067092122
1;Strings;0;6;17;43;1;2;989.249162645471
1;Strings;0;7;13;47;1;2;977.750972346482
1;Strings;0;13;16;43;1;2;842.951984764133
1;Strings;0;16;9;33;1;2;992.199662295399
1;Strings;0;17;9;36;1;2;646.873614048721
1;Strings;0;21;12;47;1;2;1440.69368824153
1;Strings;0;22;7;23;1;2;1007.09550146978
1;Strings;0;23;10;51;1;2;1467.91193716913
1;Strings;0;25;13;35;1;2;1273.67003622329
1;/a/;1;2;26;36;2;2;571.625094482237
1;/a/;1;4;20;43;2;2;945.00850340136
1;/a/;1;8;14;51;2;2;419.221466364323
1;/a/;1;9;19;53;2;2;672.067240119188
1;/a/;1;10;32;57;2;2;724.665204924945
1;/a/;1;11;19;49;2;2;560.854421768708
1;/a/;1;12;20;42;2;2;868.969513731419
1;/a/;1;14;26;53;2;2;1014.55782312925
1;/a/;1;15;40;56;2;2;721.073318216175
1;/a/;1;18;10;55;2;2;593.478835978836
1;/a/;1;19;18;52;2;2;701.485714285714
1;/a/;1;20;25;40;2;2;493.0550058899
1;/a/;1;2;26;36;2;2;613.206274245235
1;/a/;1;4;20;43;2;2;956.177721088435
1;/a/;1;8;14;51;2;2;501.232048374905
1;/a/;1;9;19;53;2;2;645.07449260696
1;/a/;1;10;32;57;2;2;697.087760724124
1;/a/;1;11;19;49;2;2;524.165963906224
1;/a/;1;12;20;42;2;2;577.052154195011
1;/a/;1;14;26;53;2;2;819.821953472747
1;/a/;1;15;40;56;2;2;800.327380952381
1;/a/;1;18;10;55;2;2;505.712396069539
1;/a/;1;19;18;52;2;2;635.446376081297
1;/a/;1;20;25;40;2;2;567.877189819019
1;/u/;1;2;26;36;2;2;652.634013605442
1;/u/;1;4;20;43;2;2;1008.26105442177
1;/u/;1;8;14;51;2;2;1333.16704459562
1;/u/;1;9;19;53;2;2;784.128663811203
1;/u/;1;10;32;57;2;2;1119.66402887686
1;/u/;1;11;19;49;2;2;490.804988662132
1;/u/;1;12;20;42;2;2;965.93537414966
1;/u/;1;14;26;53;2;2;2026.59863945578
1;/u/;1;18;10;55;2;2;1108.16326530612
1;/u/;1;19;18;52;2;2;779.812925170068
1;/u/;1;20;25;40;2;2;1730.62925170068
1;/u/;1;24;42;58;2;2;333.291761148904
1;/u/;1;2;26;36;2;2;781.779591836735
1;/u/;1;4;20;43;2;2;2657.06727135299
1;/u/;1;8;14;51;2;2;2339.72789115646
1;/u/;1;9;19;53;2;2;1043.71173469388
1;/u/;1;10;32;57;2;2;1971.14013605442
1;/u/;1;11;19;49;2;2;661.938355589149
1;/u/;1;12;20;42;2;2;1060.46343537415
1;/u/;1;14;26;53;2;2;2643.52229780801
1;/u/;1;15;40;56;2;2;1571.88964474679
1;/u/;1;18;10;55;2;2;1200.33257747543
1;/u/;1;19;18;52;2;2;1040.90795501874
1;/u/;1;20;25;40;2;2;1660.51020408163
1;/u/;1;24;42;58;2;2;425.405071119357
1;Strings;0;2;26;36;2;2;650.486595304842
1;Strings;0;4;20;43;2;2;813.045405528355
1;Strings;0;8;14;51;2;2;581.503956652206
1;Strings;0;9;19;53;2;2;676.20618060151
1;Strings;0;10;32;57;2;2;703.006363263608
1;Strings;0;11;19;49;2;2;520.953360262496
1;Strings;0;12;20;42;2;2;699.720751540149
1;Strings;0;14;26;53;2;2;698.093124408038
1;Strings;0;15;40;56;2;2;1394.03313307454
1;Strings;0;18;10;55;2;2;726.465858415003
1;Strings;0;19;18;52;2;2;704.284765623472
1;Strings;0;20;25;40;2;2;897.019512873791
1;Strings;0;24;42;58;2;2;575.556339819076
1;Strings;0;28;14;51;2;2;593.765283646341
1;Strings;0;2;26;36;2;2;1012.76686352416
